Year (N);ISO;Rank N;Score N;Score N without the exactions;Score N with the exactions;Score exactions;Rank N-1;Score N-1;Rank evolution;FR_country;EN_country;ES_country;AR_country;FA_country;Zone
2016;FIN;1;91,41;86,69;;86,14;1;92,48;0;Finlande;Finland;Finlandia;فنلندا;فنلاند;UE Balkans
2016;NLD;2;91,24;89,99;;44,24;4;90,78;2;Pays-Bas;Netherlands;Países Bajos;هولندا;هلند;UE Balkans
2016;NOR;3;91,21;81,09;;72,92;2;92,25;-1;Norvège;Norway;Noruega;النرويج;نروژ;UE Balkans
2016;DNK;4;91,11;91,11;;100;3;91,76;-1;Danemark;Denmark;Dinamarca;الدنمارك;دانمارک;UE Balkans
2016;NZL;5;89,99;71,18;;83,91;6;89,94;1;Nouvelle-Zélande;New Zealand;Nueva Zelanda;نيوزيلاندا;زلاند نو;Asie-Pacifique
2016;CRI;6;88,9;88,9;;100;16;87,74;10;Costa Rica;Costa Rica;Costa Rica;كوستاريكا;کاستاریکا;Amériques
2016;CHE;7;88,24;88,24;;100;20;86,15;13;Suisse;Switzerland;Suiza;سويسرا;سويیس;UE Balkans
2016;SWE;8;87,67;87,67;;38,08;5;90,53;-3;Suède;Sweden;Suecia;السويد;سوئد;UE Balkans
2016;IRL;9;87,6;35,09;;72,92;11;88,8;2;Irlande;Ireland;Irlanda;أيرلندا;ایرلند;UE Balkans
2016;JAM;10;87,55;71,33;;100;9;88,82;-1;Jamaïque;Jamaica;Jamaica;جامايكا;جامائیکا;Amériques
2016;AUT;11;86,82;86,82;;27;7;89,15;-4;Autriche;Austria;Austria;النمسا;اتریش;UE Balkans
2016;SVK;12;86,74;77,74;;93,07;14;88,34;2;Slovaquie;Slovakia;Eslovaquia;سلوفاكيا;اسلواکی;UE Balkans
2016;BEL;13;85,82;85,82;;100;15;88,02;2;Belgique;Belgium;Bélgica;بلجيكا;بلژیک;UE Balkans
2016;EST;14;85,69;85,69;;47,07;10;88,81;-4;Estonie;Estonia;Estonia;إستونيا;استونی;UE Balkans
2016;LUX;15;85,57;63,91;;100;19;86,39;4;Luxembourg;Luxembourg;Luxemburgo;لوكسمبورغ;لوکزامبورگ;UE Balkans
2016;DEU;16;85,2;82,05;;100;12;88,53;-4;Allemagne;Germany;Alemania;ألمانيا;آلمان;UE Balkans
2016;NAM;17;84,85;67,38;;100;17;87,5;0;Namibie;Namibia;Namibia;ناميبيا;نامیبیا;Afrique
2016;CAN;18;84,74;84,74;;100;8;89,01;-10;Canada;Canada;Canadá;كندا;کانادا;Amériques
2016;ISL;19;84,7;62,11;;100;21;86,13;2;Islande;Iceland;Islandia;أيسلندا;ایسلند;UE Balkans
2016;URY;20;84,12;84,12;;55,95;23;84,06;3;Uruguay;Uruguay;Uruguay;أوروغواي;اروگويه;Amériques
2016;CZE;21;83,34;83,34;;72,92;13;88,38;-8;République tchèque;Czech Republic;República Checa;جمهورية التشيك;جمهوری چک;UE Balkans
2016;SUR;22;83,3;47,63;;100;29;81,8;7;Suriname;Suriname;Surinam;سورينام;سورینام;Amériques
2016;PRT;23;82,73;64,03;;100;26;82,89;3;Portugal;Portugal;Portugal;البرتغال;پرتغال;UE Balkans
2016;LVA;24;82,62;68,11;;100;28;81,88;4;Lettonie;Latvia;Letonia;لاتفيا;لتوانی;UE Balkans
2016;AUS;25;82,16;82,16;;100;25;82,97;0;Australie;Australia;Australia;أستراليا;استرالیا;Asie-Pacifique
2016;GHA;26;82,05;69,65;;69,55;22;84,5;-4;Ghana;Ghana;Ghana;غانا;غنا;Afrique
2016;CYP;27;81,74;81,74;;86,14;24;83,48;-3;Chypre;Cyprus;Chipre;قبرص;قبرس;UE Balkans
2016;LIE;28;81,64;80,05;;100;27;82,33;-1;Liechtenstein;Liechtenstein;Liechtenstein;ليختنشتاين;لیختن‌اشتاین;UE Balkans
2016;WSM;29;81,2;40,28;;100;40;77,68;11;Samoa;Samoa;Samoa;ساموا;ساموآ;Asie-Pacifique
2016;XCD;30;81,09;59,57;;33,19;37;78,98;7;OECS;OECS;OECS;الكاريبي;جزایر کارائیب شرقی;Amériques
2016;CHL;31;80,77;80,77;;42,8;43;77;12;Chili;Chile;Chile;تشيلي;شیلی;Amériques
2016;CPV;32;80,18;80,18;;100;36;79,31;4;Cap-Vert;Cape Verde;Cabo Verde;الرأس الأخضر;کیپورد;Afrique
2016;AND;33;80,13;80,13;;100;32;80,13;-1;Andorre;Andorra;Andorra;أندورا;آندور;UE Balkans
2016;ESP;34;80,08;55,66;;100;33;80,05;-1;Espagne;Spain;España;إسبانيا;اسپانیا;UE Balkans
2016;LTU;35;80,05;85,57;;78,03;31;81,2;-4;Lituanie;Lithuania;Lituania;ليتوانيا;لیتوانی;UE Balkans
2016;BLZ;36;79,39;79,39;;100;30;81,46;-6;Bélize;Belize;Belice;بليز;بلیز;Amériques
2016;TON;37;78,76;78,76;;100;44;76,63;7;Tonga;Tonga;Tonga;تونغا;تونگا;Asie-Pacifique
2016;GBR;38;78,3;78,3;;75,15;34;80;-4;Royaume-Uni;United Kingdom;Reino Unido;المملكة المتحدة;بریتانیا;UE Balkans
2016;ZAF;39;78,08;71,42;;70,56;39;77,94;0;Afrique du Sud;South Africa;Sudáfrica;جنوب أفريقيا;آفریقای جنوبی;Afrique
2016;SVN;40;77,74;34,65;;86,14;35;79,45;-5;Slovénie;Slovenia;Eslovenia;سلوفينيا;اسلوانی;UE Balkans
2016;USA;41;77,51;77,51;;26,12;49;75,59;8;États-Unis;United States;Estados Unidos;الولايات المتحدة;ایالات متحده امریکا;Amériques
2016;BFA;42;77,34;78,63;;100;46;76,21;4;Burkina Faso;Burkina Faso;Burkina Faso;بوركينا فاسو;بورکینافاسو;Afrique
2016;BWA;43;77,09;77,09;;93,07;42;77,09;-1;Botswana;Botswana;Botsuana;بوتسوانا;بوستاوانا;Afrique
2016;TTO;44;76,71;76,71;;40,16;41;77,61;-3;Trinité-et-Tobago;Trinidad and Tobago;Trinidad y Tobago;ترينيداد وتوباغو;ترنتی و توبوگو;Amériques
2016;FRA;45;76,17;67,8;;100;38;78,85;-7;France;France;Francia;فرنسا;فرانسه;UE Balkans
2016;MLT;46;76,16;75,97;;44,2;48;75,84;2;Malte;Malta;Malta;مالطا;مالت;UE Balkans
2016;POL;47;76,11;82,73;;26,06;18;87,29;-29;Pologne;Poland;Polonia;بولندا;لهستان;UE Balkans
2016;MRT;48;75,97;72,31;;54,89;55;74,73;7;Mauritanie;Mauritania;Mauritania;موريتانيا;موریتانی;Afrique
2016;ROU;49;75,71;51,47;;49,96;52;75,1;3;Roumanie;Romania;Rumania;رومانيا;رومانی;UE Balkans
2016;COM;50;75,67;75,67;;100;50;75,48;0;Comores;Comoros;Comoras;جزر القمر;کومور;Afrique
2016;TWN;51;75,63;75,63;;82,08;51;75,17;0;Taïwan;Taiwan;Taiwán;تايوان;تایوان;Asie-Pacifique
2016;NER;52;75,38;68,35;;82,08;47;76,15;-5;Niger;Niger;Niger;النيجر;نیجر;Afrique
2016;HTI;53;75,34;60,85;;100;53;74,92;0;Haïti;Haiti;Haití;هايتي;هايیتی;Amériques
2016;ARG;54;74,91;74,91;;100;57;73,89;3;Argentine;Argentina;Argentina;الأرجنتين;آرژانتین;Amériques
2016;PNG;55;74,19;66,37;;70,56;56;74,13;1;Papouasie-Nouvelle-Guinée;Papua New Guinea;Papúa Nueva Guinea;بابوا غينيا الجديدة;پاپوآ گینه نو;Asie-Pacifique
2016;MDG;56;72,96;71,88;;68,65;64;72,57;8;Madagascar;Madagascar;Madagascar;مدغشقر;ماداگاسکار;Afrique
2016;GUY;57;72,93;75,34;;100;62;72,79;5;Guyana;Guyana;Guyana;غويانا;گیانا;Amériques
2016;SLV;58;72,8;72,8;;42,16;45;76,34;-13;El Salvador;El Salvador;El Salvador;السلفادور;ال‌سالوادور;Amériques
2016;SRB;59;72,4;69,4;;79,21;67;72,34;8;Serbie;Serbia;Serbia;صربيا;صربستان;UE Balkans
2016;MNG;60;72,39;67,21;;76,97;54;74,75;-6;Mongolie;Mongolia;Mongolia;منغوليا;مغولستان;Asie-Pacifique
2016;MUS;61;72,31;55,48;;83,91;68;72,31;7;Maurice;Mauritius;Mauricio;موريشيوس;موریس;Afrique
2016;DOM;62;72,1;72,1;;54,89;63;72,69;1;République dominicaine;Dominican Republic;República Dominicana;جمهورية الدومينيكان;جمهوری دومینیک;Amériques
2016;HRV;63;72,09;74,46;;47,58;58;73,88;-5;Croatie;Croatia;Croacia;كرواتيا;کرواسی;UE Balkans
2016;GEO;64;72,04;90,79;;100;69;72,3;5;Géorgie;Georgia;Georgia;جورجيا;گرجستان;EEAC
2016;SEN;65;72,01;73,34;;75,15;71;72,23;6;Sénégal;Senegal;Senegal;السنغال;سنگال;Afrique
