Year (N);ISO;Rank N;Score N;Score N without the exactions;Score N with the exactions;Score exactions;Rank N-1;Score N-1;Rank evolution;FR_country;EN_country;ES_country;AR_country;FA_country;Zone
2013;BGR;87;71,42;;;;81;29;-6;Bulgarie;Bulgaria;Bulgaria;بلغاريا;بلغارستان;UE Balkans
2013;MDG;88;71,38;;;;85;29,5;-3;Madagascar;Madagascar;Madagascar;مدغشقر;ماداگاسکار;Afrique
2013;GAB;89;71,31;;;;101;36,5;12;Gabon;Gabon;República Gabonesa;الغابون;گابون;Afrique
2013;TLS;90;71,28;;;;88;30;-2;Timor oriental;East Timor;Timor Oriental;تيمور الشرقية;تیمور شرقی;Asie-Pacifique
2013;PRY;91;71,22;;;;83;29;-8;Paraguay;Paraguay;Paraguay;باراغواي;پاراگوئه;Amériques
2013;GNB;92;71,06;;;;75;26;-17;Guinée-Bissau;Guinea-Bissau;Guinea-Bisáu;غينيا بيساو;گینه بیسائو;Afrique
2013;SYC;93;70,81;;;;74;25;-19;Seychelles;Seychelles;Seychelles;سيشيل;سی‌شل;Afrique
2013;CTU;94;70,66;;;;102;37;8;Chypre (partie Nord);Cyprus North;Chipre Norte;قبرص (الجزء الشمالي);قبرس (شمالی);UE Balkans
2013;GTM;95;70,61;;;;98;35;3;Guatemala;Guatemala;Guatemala;غواتيمالا;گواتمالا;Amériques
2013;CIV;96;70,23;;;;159;83,5;63;Côte d'Ivoire;Ivory Coast;Costa de Marfil;ساحل العاج;ساحل عاج;Afrique
2013;LBR;97;70,11;;;;110;40,5;13;Liberia;Liberia;Liberia;ليبيريا;لیبریا;Afrique
2013;MNG;98;70,07;;;;100;35,75;2;Mongolie;Mongolia;Mongolia;منغوليا;مغولستان;Asie-Pacifique
2013;MLI;99;69,97;;;;25;0;-74;Mali;Mali;Malí;مالي;مالی;Afrique
2013;GEO;100;69,91;;;;105;38;5;Géorgie;Georgia;Georgia;جورجيا;گرجستان;EEAC
2013;LBN;101;69,85;;;;93;31,5;-8;Liban;Lebanon;Líbano;لبنان;لبنان;MENA
2013;ALB;102;69,12;;;;96;34,44;-6;Albanie;Albania;Albania;ألبانيا;آلبانی;UE Balkans
2013;MDV;103;68,9;;;;73;25;-30;Maldives;Maldives;Maldivas;المالديف;مالدیو;Asie-Pacifique
2013;UGA;104;68,31;;;;139;64;35;Ouganda;Uganda;Uganda;أوغندا;اوگاندا;Afrique
2013;PER;105;68,13;;;;115;51,25;10;Pérou;Peru;Peru;بيرو;پرو;Amériques
2013;KGZ;106;67,8;;;;109;40;3;Kirghizstan;Kyrgyzstan;Kirguistán;قرغيزستان;قرقیزستان;EEAC
2013;FJI;107;67,31;;;;118;55;11;Fidji;Fiji;Fiyi;فيجي;فیجی;Asie-Pacifique
2013;BRA;108;67,25;;;;99;35,33;-9;Brésil;Brazil;Brasil;البرازيل;برزیل;Amériques
2013;BOL;109;67,2;;;;108;40;-1;Bolivie;Bolivia;Bolivia;بوليفيا;بلیوی;Amériques
2013;QAT;110;67,14;;;;114;46;4;Qatar;Qatar;Catar;قطر;قطر;MENA
2013;PAN;111;67,05;;;;113;45,67;2;Panama;Panama;Panamá;بنما;پاناما;Amériques
2013;ISR;112;67,03;;;;;;;Israël;Israel;Israel;إسرائيل;اسرائیل;MENA
2013;MNE;113;67,03;;;;107;39;-6;Monténégro;Montenegro;Montenegro;الجبل الأسود;مونته‌نگرو;UE Balkans
2013;ARE;114;66,51;;;;112;45;-2;Émirats arabes unis;United Arab Emirates;Emiratos Árabes Unidos;الإمارات العربية المتحدة;امارات متحده عربی;MENA
2013;NGA;115;65,89;;;;126;56,4;11;Nigeria;Nigeria;Nigeria;نيجيريا;نیجریه;Afrique
2013;MKD;116;65,73;;;;94;31,67;-22;Macédoine du Nord;North Macedonia;República de Macedonia del Norte;مقدونيا الشمالية;مقدونیه شمالی ;UE Balkans
2013;VEN;117;65,56;;;;120;55;3;Venezuela;Venezuela;Venezuela;فنزويلا;ونزوئلا;Amériques
2013;NPL;118;65,39;;;;106;38,75;-12;Népal;Nepal;Nepal;نيبال;نپال;Asie-Pacifique
2013;ECU;119;65,31;;;;104;38;-15;Équateur;Ecuador;Ecuador;الإكوادور;اکواتور;Amériques
2013;CMR;120;65,22;;;;97;35;-23;Cameroun;Cameroon;Camerún;الكاميرون;کامرون;Afrique
2013;TCD;121;65,13;;;;103;37,67;-18;Tchad;Chad;Chad;تشاد;چاد;Afrique
2013;BRN;122;64,55;;;;125;56,2;3;Brunei;Brunei Darussalam;Brunéi;بروناي;برونی;Asie-Pacifique
2013;TJK;123;64,29;;;;123;56;0;Tadjikistan;Tajikistan;Tayikistán;طاجيكستان;تاجیکستان;EEAC
2013;SSD;124;63,8;;;;111;41,25;-13;Soudan du Sud;South Sudan;Sudán del Sur;جمهورية جنوب السودان;سودان جنوبی;Afrique
2013;DZA;125;63,46;;;;122;56;-3;Algérie;Algeria;Argelia;الجزائر;الجزایر;MENA
2013;UKR;126;63,21;;;;116;54;-10;Ukraine;Ukraine;Ucrania;أوكرانيا;اوکراين;EEAC
2013;HND;127;63,08;;;;136;61;9;Honduras;Honduras;Honduras;هندوراس;هندوراس;Amériques
2013;AFG;128;62,64;;;;150;74;22;Afghanistan;Afghanistan;Afganistán;أفغانستان;افغانستان;Asie-Pacifique
2013;COL;129;62,52;;;;143;66,5;14;Colombie;Colombia;Colombia;كولومبيا;کلمبیا;Amériques
2013;AGO;130;62,2;;;;132;58,43;2;Angola;Angola;Angola;أنغولا;آنگولا;Afrique
2013;LBY;131;62,14;;;;155;77,5;24;Libye;Libya;Libia;ليبيا;لیبی;MENA
2013;BDI;132;61,98;;;;130;57,75;-2;Burundi;Burundi;Burundi;بوروندي;بروندی;Afrique
2013;ZWE;133;61,88;;;;121;55;-12;Zimbabwe;Zimbabwe;Zimbabue;زيمبابوي;زیمبابوه;Afrique
2013;JOR;134;61,53;;;;128;56,8;-6;Jordanie;Jordan;Jordania;الأردن;اردن;MENA
2013;THA;135;61,4;;;;137;61,5;2;Thaïlande;Thailand;Tailandia;تايلاند;تایلند;Asie-Pacifique
2013;MAR;136;60,96;;;;138;63,29;2;Maroc;Morocco;Marruecos;المغرب;مراکش;MENA
2013;ETH;137;60,43;;;;127;56,6;-10;Éthiopie;Ethiopia;Etiopía;أثيوبيا;اتیوپی;Afrique
2013;TUN;138;60,07;;;;134;60,25;-4;Tunisie;Tunisia;Túnez;تونس;تونس;MENA
2013;IDN;139;58,95;;;;146;68;7;Indonésie;Indonesia;Indonesia;أندونيسيا;اندونزی;Asie-Pacifique
2013;IND;140;58,78;;;;131;58;-9;Inde;India;India;الهند;هند;Asie-Pacifique
2013;OMN;141;58,49;;;;119;55;-22;Oman;Oman;Omán;عمان;عمان;MENA
2013;COD;142;58,34;;;;145;67,67;3;RD Congo;The Democratic Republic Of The Congo;RD Congo;جمهورية الكونغو الديمقراطية;جمهوری دمکراتیک کنگو;Afrique
2013;KHM;143;58,19;;;;117;55;-26;Cambodge;Cambodia;Camboya;كمبوديا;کامبوج;Asie-Pacifique
2013;BGD;144;57,99;;;;129;57;-15;Bangladesh;Bangladesh;Bangladés;بنغلاديش;بنگلادش;Asie-Pacifique
2013;MYS;145;57,27;;;;124;56;-21;Malaisie;Malaysia;Malasia;ماليزيا;مالزی;Asie-Pacifique
2013;PSE;146;56,91;;;;153;76;7;Palestine;Palestine;Palestina;فلسطين;فلسطین;MENA
2013;PHL;147;56,89;;;;140;64,5;-7;Philippines;Philippines;Filipinas;الفلبين;فلیپین;Asie-Pacifique
2013;RUS;148;56,58;;;;142;66;-6;Russie;Russian Federation;Rusia;روسيا;روسیه;EEAC
2013;SGP;149;56,57;;;;135;61;-14;Singapour;Singapore;Singapur;سنغافورة;سنگاپور;Asie-Pacifique
2013;IRQ;150;55,33;;;;152;75,36;2;Irak;Iraq;Irak;العراق;عراق;MENA
2013;MMR;151;55,29;;;;169;100;18;Birmanie;Myanmar;Birmania;بورما;برمه;Asie-Pacifique
2013;GMB;152;54,91;;;;141;65,5;-11;Gambie;Gambia;Gambia;غامبيا;گامبیا;Afrique
2013;MEX;153;54,7;;;;149;72,67;-4;Mexique;Mexico;México;المكسيك;مکزیک;Amériques
2013;TUR;154;53,44;;;;148;70;-6;Turquie;Turkey;Turquía;تركيا;ترکیه;EEAC
