Year (N);ISO;Rank N;Score N;Score N without the exactions;Score N with the exactions;Score exactions;Rank N-1;Score N-1;Rank evolution;FR_country;EN_country;ES_country;AR_country;FA_country;Zone
2017;NOR;1;92,4;92,4;93,92;100;3;91,21;2;Norvège;Norway;Noruega;النرويج;نروژ;UE Balkans
2017;SWE;2;91,73;92,41;91,73;89,01;8;87,67;6;Suède;Sweden;Suecia;السويد;سوئد;UE Balkans
2017;FIN;3;91,08;91,08;92,87;100;1;91,41;-2;Finlande;Finland;Finlandia;فنلندا;فنلاند;UE Balkans
2017;DNK;4;89,64;89,64;91,71;100;4;91,11;0;Danemark;Denmark;Dinamarca;الدنمارك;دانمارک;UE Balkans
2017;NLD;5;88,72;90,37;88,72;82,08;2;91,24;-3;Pays-Bas;Netherlands;Países Bajos;هولندا;هلند;UE Balkans
2017;CRI;6;88,07;88,07;90,46;100;6;88,9;0;Costa Rica;Costa Rica;Costa Rica;كوستاريكا;کاستاریکا;Amériques
2017;CHE;7;87,87;87,87;90,29;100;7;88,24;0;Suisse;Switzerland;Suiza;سويسرا;سويیس;UE Balkans
2017;JAM;8;87,27;87,27;89,82;100;10;87,55;2;Jamaïque;Jamaica;Jamaica;جامايكا;جامائیکا;Amériques
2017;BEL;9;87,25;87,53;87,25;86,14;13;85,82;4;Belgique;Belgium;Bélgica;بلجيكا;بلژیک;UE Balkans
2017;ISL;10;86,97;86,97;89,58;100;19;84,7;9;Islande;Iceland;Islandia;أيسلندا;ایسلند;UE Balkans
2017;AUT;11;86,53;86,53;89,22;100;11;86,82;0;Autriche;Austria;Austria;النمسا;اتریش;UE Balkans
2017;EST;12;86,45;86,45;89,16;100;14;85,69;2;Estonie;Estonia;Estonia;إستونيا;استونی;UE Balkans
2017;NZL;13;86,02;86,02;88,81;100;5;89,99;-8;Nouvelle-Zélande;New Zealand;Nueva Zelanda;نيوزيلاندا;زلاند نو;Asie-Pacifique
2017;IRL;14;85,92;85,92;88,74;100;9;87,6;-5;Irlande;Ireland;Irlanda;أيرلندا;ایرلند;UE Balkans
2017;LUX;15;85,28;85,28;88,23;100;15;85,57;0;Luxembourg;Luxembourg;Luxemburgo;لوكسمبورغ;لوکزامبورگ;UE Balkans
2017;DEU;16;85,03;88,65;85,03;70,56;16;85,2;0;Allemagne;Germany;Alemania;ألمانيا;آلمان;UE Balkans
2017;SVK;17;84,49;84,49;87,59;100;12;86,74;-5;Slovaquie;Slovakia;Eslovaquia;سلوفاكيا;اسلواکی;UE Balkans
2017;PRT;18;84,23;84,23;87,38;100;23;82,73;5;Portugal;Portugal;Portugal;البرتغال;پرتغال;UE Balkans
2017;AUS;19;83,98;83,98;87,18;100;25;82,16;6;Australie;Australia;Australia;أستراليا;استرالیا;Asie-Pacifique
2017;SUR;20;83,93;83,93;87,14;100;22;83,3;2;Suriname;Suriname;Surinam;سورينام;سورینام;Amériques
2017;WSM;21;83,59;83,59;86,87;100;29;81,2;8;Samoa;Samoa;Samoa;ساموا;ساموآ;Asie-Pacifique
2017;CAN;22;83,47;83,47;86,78;100;18;84,74;-4;Canada;Canada;Canadá;كندا;کانادا;Amériques
2017;CZE;23;83,09;83,09;86,47;100;21;83,34;-2;République tchèque;Czech Republic;República Checa;جمهورية التشيك;جمهوری چک;UE Balkans
2017;NAM;24;82,92;82,92;86,34;100;17;84,85;-7;Namibie;Namibia;Namibia;ناميبيا;نامیبیا;Afrique
2017;URY;25;82,57;82,57;84,67;93,07;20;84,12;-5;Uruguay;Uruguay;Uruguay;أوروغواي;اروگويه;Amériques
2017;GHA;26;82,05;82,05;85,64;100;26;82,05;0;Ghana;Ghana;Ghana;غانا;غنا;Afrique
2017;CPV;27;81,98;81,98;85,59;100;32;80,18;5;Cap-Vert;Cape Verde;Cabo Verde;الرأس الأخضر;کیپورد;Afrique
2017;LVA;28;81,38;81,38;85,11;100;24;82,62;-4;Lettonie;Latvia;Letonia;لاتفيا;لتوانی;UE Balkans
2017;ESP;29;81,31;82,64;81,31;76,02;34;80,08;5;Espagne;Spain;España;إسبانيا;اسپانیا;UE Balkans
2017;CYP;30;80,21;80,21;84,16;100;27;81,74;-3;Chypre;Cyprus;Chipre;قبرص;قبرس;UE Balkans
2017;ZAF;31;79,88;79,88;83,9;100;39;78,08;8;Afrique du Sud;South Africa;Sudáfrica;جنوب أفريقيا;آفریقای جنوبی;Afrique
2017;LIE;32;79,69;79,69;83,75;100;28;81,64;-4;Liechtenstein;Liechtenstein;Liechtenstein;ليختنشتاين;لیختن‌اشتاین;UE Balkans
2017;CHL;33;79,47;80,06;79,89;79,21;31;80,77;-2;Chili;Chile;Chile;تشيلي;شیلی;Amériques
2017;TTO;34;79,38;79,38;83,51;100;44;76,71;10;Trinité-et-Tobago;Trinidad and Tobago;Trinidad y Tobago;ترينيداد وتوباغو;ترنتی و توبوگو;Amériques
2017;AND;35;78,97;78,97;83,18;100;33;80,13;-2;Andorre;Andorra;Andorra;أندورا;آندور;UE Balkans
2017;LTU;36;78,63;78,63;81,52;93,07;35;80,05;-1;Lituanie;Lithuania;Lituania;ليتوانيا;لیتوانی;UE Balkans
2017;SVN;37;78,3;78,3;82,64;100;40;77,74;3;Slovénie;Slovenia;Eslovenia;سلوفينيا;اسلوانی;UE Balkans
2017;XCD;38;77,9;77,9;82,32;100;30;81,09;-8;OECS;OECS;OECS;الكاريبي;جزایر کارائیب شرقی;Amériques
2017;FRA;39;77,76;77,96;77,76;76,97;45;76,17;6;France;France;Francia;فرنسا;فرانسه;UE Balkans
2017;GBR;40;77,74;77,74;82,2;100;38;78,3;-2;Royaume-Uni;United Kingdom;Reino Unido;المملكة المتحدة;بریتانیا;UE Balkans
2017;BLZ;41;76,57;76,57;81,25;100;36;79,39;-5;Bélize;Belize;Belice;بليز;بلیز;Amériques
2017;BFA;42;76,15;76,15;79,53;93,07;42;77,34;0;Burkina Faso;Burkina Faso;Burkina Faso;بوركينا فاسو;بورکینافاسو;Afrique
2017;USA;43;76,12;76,73;76,41;75,15;41;77,51;-2;États-Unis;United States;Estados Unidos;الولايات المتحدة;ایالات متحده امریکا;Amériques
2017;COM;44;75,67;75,67;80,54;100;50;75,67;6;Comores;Comoros;Comoras;جزر القمر;کومور;Afrique
2017;TWN;45;75,63;75,63;80,51;100;51;75,63;6;Taïwan;Taiwan;Taiwán;تايوان;تایوان;Asie-Pacifique
2017;ROU;46;75,54;75,54;80,44;100;49;75,71;3;Roumanie;Romania;Rumania;رومانيا;رومانی;UE Balkans
2017;MLT;47;75,24;75,24;80,19;100;46;76,16;-1;Malte;Malta;Malta;مالطا;مالت;UE Balkans
2017;BWA;48;75,07;75,07;80,06;100;43;77,09;-5;Botswana;Botswana;Botsuana;بوتسوانا;بوستاوانا;Afrique
2017;TON;49;75,03;75,03;80,03;100;37;78,76;-12;Tonga;Tonga;Tonga;تونغا;تونگا;Asie-Pacifique
2017;ARG;50;74,93;77,95;74,93;62,86;54;74,91;4;Argentine;Argentina;Argentina;الأرجنتين;آرژانتین;Amériques
2017;PNG;51;74,93;74,93;79,95;100;55;74,19;4;Papouasie-Nouvelle-Guinée;Papua New Guinea;Papúa Nueva Guinea;بابوا غينيا الجديدة;پاپوآ گینه نو;Asie-Pacifique
2017;ITA;52;73,74;74,96;73,88;69,55;77;71,07;25;Italie;Italy;Italia;إيطاليا;ایتالیا;UE Balkans
2017;HTI;53;73,64;73,64;75,7;83,91;53;75,34;0;Haïti;Haiti;Haití;هايتي;هايیتی;Amériques
2017;POL;54;73,53;73,53;78,82;100;47;76,11;-7;Pologne;Poland;Polonia;بولندا;لهستان;UE Balkans
2017;MRT;55;73,51;73,74;76,22;86,14;48;75,97;-7;Mauritanie;Mauritania;Mauritania;موريتانيا;موریتانی;Afrique
2017;MUS;56;73,33;73,33;78,66;100;61;72,31;5;Maurice;Mauritius;Mauricio;موريشيوس;موریس;Afrique
2017;MDG;57;73,29;73,29;78,63;100;56;72,96;-1;Madagascar;Madagascar;Madagascar;مدغشقر;ماداگاسکار;Afrique
2017;SEN;58;73,28;73,28;78,62;100;65;72,01;7;Sénégal;Senegal;Senegal;السنغال;سنگال;Afrique
2017;DOM;59;73,24;73,24;75,82;86,14;62;72,1;3;République dominicaine;Dominican Republic;República Dominicana;جمهورية الدومينيكان;جمهوری دومینیک;Amériques
2017;GUY;60;73,2;73,2;78,56;100;57;72,93;-3;Guyana;Guyana;Guyana;غويانا;گیانا;Amériques
2017;NER;61;72,79;72,79;76,03;89,01;52;75,38;-9;Niger;Niger;Niger;النيجر;نیجر;Afrique
2017;SLV;62;72,76;77,25;72,76;54,78;58;72,8;-4;El Salvador;El Salvador;El Salvador;السلفادور;ال‌سالوادور;Amériques
2017;KOR;63;72,39;72,39;77,91;100;70;71,42;7;Corée du Sud;South Korea;Corea del Sur;كوريا الجنوبية;کره جنوبی;Asie-Pacifique
2017;GEO;64;72,24;72,24;77,79;100;64;72,04;0;Géorgie;Georgia;Georgia;جورجيا;گرجستان;EEAC
2017;BIH;65;72,17;72,29;73,44;78,03;68;71,55;3;Bosnie-Herzégovine;Bosnia and Herzegovina;Bosnia-Herzegovina;البوسنة والهرسك;بوسنی هرزوگوین;UE Balkans
2017;SRB;66;71,95;71,95;76,18;93,07;59;72,4;-7;Serbie;Serbia;Serbia;صربيا;صربستان;UE Balkans
2017;FJI;67;71,36;71,36;77,09;100;80;70,63;13;Fidji;Fiji;Fiyi;فيجي;فیجی;Asie-Pacifique
2017;LSO;68;71,22;71,22;74,78;89,01;73;71,22;5;Lesotho;Lesotho;Lesoto;ليسوتو;لسو‌تو;Afrique
2017;MNG;69;71,05;71,05;76,84;100;60;72,39;-9;Mongolie;Mongolia;Mongolia;منغوليا;مغولستان;Asie-Pacifique
2017;MWI;70;71,03;71,03;76,83;100;66;71,88;-4;Malawi;Malawi;Malaui;مالاوي;مالاوی;Afrique
2017;HUN;71;70,99;70,99;75,41;93,07;67;71,83;-4;Hongrie;Hungary;Hungría;المجر;مجارستان;UE Balkans
2017;JPN;72;70,56;70,56;76,45;100;72;71,33;0;Japon;Japan;Japón;اليابان;ژاپن;Asie-Pacifique
2017;HKG;73;70,54;70,54;72,54;80,54;69;71,5;-4;Hong-Kong;Hong Kong;Hong Kong;هونغ كونغ;هنگ کنگ;Asie-Pacifique
2017;HRV;74;70,41;70,41;73,11;83,91;63;72,09;-11;Croatie;Croatia;Croacia;كرواتيا;کرواسی;UE Balkans
2017;CTU;75;70,12;70,12;76,1;100;81;70,46;6;Chypre (partie Nord);Cyprus North;Chipre Norte;قبرص (الجزء الشمالي);قبرس (شمالی);UE Balkans
2017;ALB;76;70,08;70,08;72,85;83,91;82;70,08;6;Albanie;Albania;Albania;ألبانيا;آلبانی;UE Balkans
2017;GNB;77;69,91;69,91;75,93;100;79;70,97;2;Guinée-Bissau;Guinea-Bissau;Guinea-Bisáu;غينيا بيساو;گینه بیسائو;Afrique
2017;BEN;78;69,68;69,68;75,75;100;78;71,03;0;Bénin;Benin;Benín;بنين;بنین;Afrique
2017;ARM;79;69,62;69,62;70,72;75,15;74;71,21;-5;Arménie;Armenia;Armenia;أرمينيا;ارمنستان;EEAC
2017;MDA;80;69,59;69,59;73,48;89,01;76;71,17;-4;Moldavie;Moldova;Moldavia;مولدوفا;مولداوی;EEAC
2017;CIV;81;69,58;69,73;71,39;78,03;86;69,83;5;Côte d'Ivoire;Ivory Coast;Costa de Marfil;ساحل العاج;ساحل عاج;Afrique
2017;XKO;82;69,55;69,55;71,75;80,54;90;69,5;8;Kosovo;Kosovo;Kosovo;كوسوفو;کوسووو;UE Balkans
2017;TZA;83;69,35;69,35;73,28;89,01;71;71,35;-12;Tanzanie;Tanzania;Tanzania;تنزانيا;تانزانیا;Afrique
2017;BTN;84;69,27;69,27;75,42;100;94;69,27;10;Bhoutan;Bhutan;Bután;بوتان;بوتان;Asie-Pacifique
2017;SLE;85;69,27;69,27;75,41;100;83;70,06;-2;Sierra Leone;Sierra Leone;Sierra Leona;سيراليون;سئیرالئون;Afrique
2017;TGO;86;69,25;69,25;75,4;100;88;69,69;2;Togo;Togo;Togo;توغو;توگو;Afrique
2017;SYC;87;69,14;69,14;75,31;100;92;69,4;5;Seychelles;Seychelles;Seychelles;سيشيل;سی‌شل;Afrique
2017;GRC;88;69,11;69,11;71,4;80,54;89;69,65;1;Grèce;Greece;Grecia;اليونان;یونان;UE Balkans
2017;KGZ;89;69,08;69,08;73,07;89,01;85;69,84;-4;Kirghizstan;Kyrgyzstan;Kirguistán;قرغيزستان;قرقیزستان;EEAC
2017;PER;90;69,02;72,81;69,02;53,85;84;70,01;-6;Pérou;Peru;Peru;بيرو;پرو;Amériques
2017;ISR;91;68,99;68,99;72,42;86,14;101;67,42;10;Israël;Israel;Israel;إسرائيل;اسرائیل;MENA
2017;NIC;92;68,99;68,99;71,97;83,91;75;71,18;-17;Nicaragua;Nicaragua;Nicaragua;نيكاراغوا;نیکاراگوئه;Amériques
2017;MOZ;93;68,95;68,95;70,55;76,97;87;69,75;-6;Mozambique;Mozambique;Mozambique;موزمبيق;موزامبیک;Afrique
2017;LBR;94;68,88;68,88;71,88;83,91;93;69,29;-1;Liberia;Liberia;Liberia;ليبيريا;لیبریا;Afrique
2017;KEN;95;68,8;72,49;68,8;54,05;95;68,84;0;Kenya;Kenya;Kenia;كينيا;کنیا;Afrique
