Year (N);ISO;Rank N;Score N;Score N without the exactions;Score N with the exactions;Score exactions;Rank N-1;Score N-1;Rank evolution;FR_country;EN_country;ES_country;AR_country;FA_country;Zone
2018;NOR;1;92,37;92,37;93,89;100;1;92,4;0;Norvège;Norway;Noruega;النرويج;نروژ;UE Balkans
2018;SWE;2;91,69;91,69;93,35;100;2;91,73;0;Suède;Sweden;Suecia;السويد;سوئد;UE Balkans
2018;NLD;3;89,99;89,99;91,99;100;5;88,72;2;Pays-Bas;Netherlands;Países Bajos;هولندا;هلند;UE Balkans
2018;FIN;4;89,74;89,74;91,79;100;3;91,08;-1;Finlande;Finland;Finlandia;فنلندا;فنلاند;UE Balkans
2018;CHE;5;88,73;88,73;90,99;100;7;87,87;2;Suisse;Switzerland;Suiza;سويسرا;سويیس;UE Balkans
2018;JAM;6;88,67;88,67;90,93;100;8;87,27;2;Jamaïque;Jamaica;Jamaica;جامايكا;جامائیکا;Amériques
2018;BEL;7;86,84;86,84;89,47;100;9;87,25;2;Belgique;Belgium;Bélgica;بلجيكا;بلژیک;UE Balkans
2018;NZL;8;86,38;86,38;89,1;100;13;86,02;5;Nouvelle-Zélande;New Zealand;Nueva Zelanda;نيوزيلاندا;زلاند نو;Asie-Pacifique
2018;DNK;9;86,01;93,76;86,01;55;4;89,64;-5;Danemark;Denmark;Dinamarca;الدنمارك;دانمارک;UE Balkans
2018;CRI;10;85,99;85,99;88,79;100;6;88,07;-4;Costa Rica;Costa Rica;Costa Rica;كوستاريكا;کاستاریکا;Amériques
2018;AUT;11;85,96;85,96;88,77;100;11;86,53;0;Autriche;Austria;Austria;النمسا;اتریش;UE Balkans
2018;EST;12;85,92;85,92;88,73;100;12;86,45;0;Estonie;Estonia;Estonia;إستونيا;استونی;UE Balkans
2018;ISL;13;85,9;85,9;88,72;100;10;86,97;-3;Islande;Iceland;Islandia;أيسلندا;ایسلند;UE Balkans
